TE_name	ClassII_DNA_MITE	ClassII_DNA_nMITE
ClassI_LTR_Gypsy_664	1.0	4.850398e-09
ClassI_LTR_Gypsy_679	0.0042431885	0.9957568
ClassI_LTR_Gypsy_687	0.9999999	1.1262996e-07
ClassI_LTR_Gypsy_688	0.99999976	2.2606942e-07
ClassI_LTR_Gypsy_711	0.08708957	0.91291046
ClassI_LTR_Gypsy_713	1.0	1.2252738e-09
ClassI_LTR_Gypsy_736	6.3306044e-07	0.9999994
ClassI_LTR_Gypsy_739	0.0	1.0
ClassI_LTR_Gypsy_760	1.0	1.9202183e-08
ClassI_LTR_Gypsy_772	0.96392405	0.036075976
ClassI_LTR_Gypsy_774	8.032388e-28	1.0
ClassI_LTR_Gypsy_790	0.00034993995	0.99965
ClassI_LTR_Gypsy_794	1.0	1.0578534e-08
ClassI_LTR_Gypsy_825	1.15321385e-20	1.0
ClassII_DNA_TcMar_837	1.1144382e-12	1.0
ClassII_DNA_TcMar_838	1.0	2.5694242e-11
ClassII_DNA_TcMar_839	1.0	3.3900525e-09
ClassII_DNA_TcMar_840	6.9859666e-33	1.0
ClassII_DNA_TcMar_841	2.1077858e-11	1.0
ClassII_DNA_TcMar_842	1.3957739e-10	1.0
ClassII_DNA_TcMar_843	4.2042e-24	1.0
ClassII_DNA_TcMar_844	3.7901357e-14	1.0
ClassII_DNA_TcMar_845	1.7125582e-12	1.0
ClassII_DNA_TcMar_846	1.0	1.8983185e-11
ClassII_DNA_TcMar_847	1.5948076e-11	1.0
ClassII_DNA_TcMar_848	1.0048503e-12	1.0
ClassII_DNA_TcMar_849	7.652449e-24	1.0
ClassII_DNA_TcMar_850	7.919242e-12	1.0
ClassII_DNA_TcMar_851	1.9165683e-10	1.0
ClassII_DNA_TcMar_852	0.99997663	2.3344564e-05
ClassII_DNA_TcMar_853	1.6382321e-12	1.0
ClassII_DNA_TcMar_854	9.9353425e-12	1.0
ClassII_DNA_TcMar_855	5.237713e-09	1.0
ClassII_DNA_TcMar_856	2.5833158e-15	1.0
ClassII_DNA_TcMar_857	1.0	1.7181383e-10
ClassII_DNA_TcMar_858	1.2594313e-21	1.0
ClassII_DNA_TcMar_859	6.324162e-26	1.0
ClassII_DNA_TcMar_860	7.5153046e-14	1.0
ClassII_DNA_TcMar_861	4.3293593e-07	0.9999995
ClassII_DNA_TcMar_862	9.884029e-15	1.0
ClassII_DNA_TcMar_863	2.7663183e-37	1.0
ClassII_DNA_TcMar_864	2.6048116e-28	1.0
ClassII_DNA_TcMar_865	8.91746e-15	1.0
ClassII_DNA_TcMar_866	1.0232411e-24	1.0
ClassII_DNA_TcMar_867	0.002177212	0.99782276
ClassII_DNA_TcMar_868	1.0	1.11846823e-10
ClassII_DNA_TcMar_869	1.20541945e-17	1.0
ClassII_DNA_TcMar_870	0.22432238	0.7756777
ClassII_DNA_TcMar_871	0.99398804	0.0060119503
ClassII_DNA_TcMar_872	1.4998514e-13	1.0
ClassII_DNA_TcMar_873	3.0924777e-12	1.0
ClassII_DNA_TcMar_874	3.7920262e-16	1.0
ClassII_DNA_TcMar_875	1.0	5.48524e-11
ClassII_DNA_TcMar_876	1.8436405e-11	1.0
ClassII_DNA_TcMar_877	2.5272549e-26	1.0
ClassII_DNA_TcMar_878	2.4108243e-05	0.9999759
ClassII_DNA_TcMar_879	2.194017e-19	1.0
ClassII_DNA_TcMar_880	1.898474e-11	1.0
ClassII_DNA_TcMar_881	7.868439e-09	1.0
ClassII_DNA_TcMar_882	4.519757e-13	1.0
ClassII_DNA_TcMar_883	3.5902154e-25	1.0
ClassII_DNA_TcMar_884	0.03996227	0.9600377
ClassII_DNA_TcMar_885	8.9799695e-10	1.0
ClassII_DNA_TcMar_886	0.06557573	0.9344243
ClassII_DNA_TcMar_887	5.113583e-16	1.0
ClassII_DNA_TcMar_888	1.9519167e-15	1.0
ClassII_DNA_TcMar_889	0.99999857	1.3931522e-06
ClassII_DNA_TcMar_890	1.0620195e-24	1.0
ClassII_DNA_hAT_891	1.0	2.7325164e-10
ClassII_DNA_hAT_892	1.3556861e-08	1.0
ClassII_DNA_hAT_893	1.937103e-23	1.0
ClassII_DNA_hAT_894	3.6193093e-08	1.0
ClassII_DNA_hAT_895	0.9801297	0.019870238
ClassII_DNA_hAT_896	0.9999403	5.9676364e-05
ClassII_DNA_hAT_897	1.4260436e-23	1.0
ClassII_DNA_hAT_898	1.8247648e-24	1.0
ClassII_DNA_hAT_899	0.99999976	2.313621e-07
ClassII_DNA_hAT_900	0.00010020513	0.99989974
ClassII_DNA_hAT_901	0.50727344	0.49272662
ClassII_DNA_hAT_902	1.0	1.4989564e-09
ClassII_DNA_hAT_903	6.2250687e-19	1.0
ClassII_DNA_hAT_904	1.10273404e-32	1.0
ClassII_DNA_hAT_905	3.561729e-27	1.0
ClassII_DNA_hAT_906	5.9811986e-13	1.0
ClassII_DNA_hAT_907	2.079283e-34	1.0
ClassII_DNA_hAT_908	0.06434559	0.93565446
ClassII_DNA_hAT_909	0.9999982	1.7847152e-06
ClassII_DNA_hAT_910	8.2254705e-14	1.0
ClassII_DNA_hAT_911	1.7845375e-14	1.0
ClassII_DNA_hAT_912	9.804491e-38	1.0
ClassII_DNA_hAT_913	0.9999988	1.1981275e-06
ClassII_DNA_hAT_914	3.690964e-18	1.0
ClassII_DNA_hAT_915	0.036538754	0.9634613
ClassII_DNA_hAT_916	1.108626e-25	1.0
ClassII_DNA_hAT_918	0.9534329	0.046567075
ClassII_DNA_hAT_919	4.7002242e-17	1.0
ClassII_DNA_hAT_920	0.9999486	5.139132e-05
ClassII_DNA_hAT_921	1.6869686e-09	1.0
ClassII_DNA_hAT_922	1.0	2.0965942e-08
ClassII_DNA_hAT_923	1.0	4.458886e-09
ClassII_DNA_hAT_924	0.999997	3.0271478e-06
ClassII_DNA_hAT_925	1.1336949e-12	1.0
ClassII_DNA_hAT_926	1.420809e-12	1.0
ClassII_DNA_hAT_927	0.0	1.0
ClassII_DNA_hAT_928	6.68271e-17	1.0
ClassII_DNA_hAT_929	8.872203e-21	1.0
ClassII_DNA_hAT_930	1.0	1.7696181e-09
ClassII_DNA_hAT_931	4.9461005e-13	1.0
ClassII_DNA_hAT_932	0.99999976	2.2977144e-07
ClassII_DNA_hAT_933	1.0696984e-06	0.9999989
ClassII_DNA_hAT_934	1.453627e-22	1.0
ClassII_DNA_hAT_935	1.893227e-30	1.0
ClassII_DNA_hAT_936	0.14231566	0.8576843
ClassII_DNA_hAT_937	0.99999964	3.2222445e-07
ClassII_DNA_hAT_938	3.294344e-23	1.0
ClassII_DNA_hAT_939	0.9999999	1.4090163e-07
ClassII_DNA_hAT_940	1.1424532e-09	1.0
ClassII_DNA_hAT_941	0.9999994	5.3891864e-07
ClassII_DNA_hAT_942	1.743427e-08	1.0
ClassII_DNA_hAT_943	3.426915e-27	1.0
ClassII_DNA_hAT_944	3.233001e-33	1.0
ClassII_DNA_hAT_945	0.99999976	2.5101858e-07
ClassII_DNA_hAT_946	0.0	1.0
ClassII_DNA_hAT_947	0.9121416	0.08785834
ClassII_DNA_hAT_948	9.00406e-19	1.0
ClassII_DNA_hAT_949	3.5927096e-07	0.99999964
ClassII_DNA_CACTA_990	0.0	1.0
ClassII_DNA_CACTA_991	0.0	1.0
ClassII_DNA_CACTA_992	0.0	1.0
ClassII_DNA_CACTA_993	0.0001750455	0.99982494
ClassII_DNA_CACTA_994	1.0	5.477561e-09
ClassII_DNA_CACTA_995	1.0	1.998094e-08
ClassII_DNA_CACTA_996	1.0	1.4429903e-09
ClassII_DNA_CACTA_997	0.0	1.0
ClassII_DNA_CACTA_998	0.0	1.0
ClassII_DNA_CACTA_999	0.0	1.0
ClassII_DNA_CACTA_1000	0.0	1.0
ClassII_DNA_CACTA_1002	0.0	1.0
ClassII_DNA_CACTA_1003	1.7105651e-29	1.0
ClassII_DNA_CACTA_1004	4.6852825e-22	1.0
ClassII_DNA_CACTA_1005	0.0	1.0
ClassII_DNA_CACTA_1006	2.6305457e-12	1.0
ClassII_DNA_CACTA_1007	0.0	1.0
ClassII_DNA_CACTA_1008	0.0	1.0
ClassII_DNA_CACTA_1009	0.98790956	0.012090403
ClassII_DNA_CACTA_1010	0.0	1.0
ClassII_DNA_Mutator_1018	0.0	1.0
ClassII_DNA_Mutator_1019	1.8349718e-11	1.0
ClassII_DNA_Mutator_1020	0.0	1.0
ClassII_DNA_Mutator_1021	0.0	1.0
ClassII_DNA_Mutator_1022	0.0	1.0
ClassII_DNA_Mutator_1023	0.0	1.0
ClassII_DNA_Mutator_1024	0.0	1.0
ClassII_DNA_Mutator_1025	7.469467e-20	1.0
ClassII_DNA_Mutator_1026	4.127265e-05	0.99995875
ClassII_DNA_Mutator_1027	1.7822557e-06	0.9999982
ClassII_DNA_Mutator_1029	1.3557462e-22	1.0
ClassII_DNA_Mutator_1030	0.9999994	5.559818e-07
ClassII_DNA_Mutator_1031	1.4118025e-16	1.0
ClassII_DNA_Mutator_1032	1.58103e-30	1.0
ClassII_DNA_Mutator_1033	2.9390834e-05	0.99997056
ClassII_DNA_Mutator_1034	2.0375641e-09	1.0
ClassII_DNA_Mutator_1035	2.698586e-25	1.0
ClassII_DNA_Mutator_1036	0.9998975	0.00010256799
ClassII_DNA_Mutator_1037	7.4573475e-10	1.0
ClassII_DNA_Mutator_1038	0.0	1.0
ClassII_DNA_Mutator_1039	1.0	3.298692e-10
ClassII_DNA_Mutator_1040	1.840176e-34	1.0
ClassII_DNA_Mutator_1041	1.3508779e-11	1.0
ClassI_nLTR_PLE_1051	6.778434e-22	1.0
ClassII_DNA_Harbinger_1055	1.0	3.2158631e-09
ClassII_DNA_Harbinger_1056	1.0	4.978758e-08
ClassII_DNA_Harbinger_1057	0.9999373	6.268e-05
ClassII_DNA_Harbinger_1058	1.645899e-31	1.0
ClassII_DNA_Harbinger_1059	0.9999993	6.8480443e-07
ClassII_DNA_Harbinger_1061	0.9999975	2.4694175e-06
ClassII_DNA_Harbinger_1062	0.99999297	6.9963676e-06
ClassII_DNA_Harbinger_1063	5.2422083e-36	1.0
ClassII_DNA_Harbinger_1064	0.0	1.0
ClassII_DNA_Harbinger_1065	1.0	3.791868e-08
ClassII_DNA_Harbinger_1066	0.9999937	6.3565485e-06
ClassII_DNA_Harbinger_1067	0.99986494	0.00013504001
ClassII_DNA_Harbinger_1068	0.7362833	0.26371667
ClassII_DNA_Harbinger_1069	0.0	1.0
ClassII_DNA_Harbinger_1070	6.3907507e-28	1.0
ClassII_DNA_Harbinger_1071	1.0	1.4338358e-08
ClassII_DNA_Harbinger_1072	2.9729639e-34	1.0
ClassII_DNA_Harbinger_1073	0.99999917	8.515841e-07
ClassII_DNA_Harbinger_1074	1.2103004e-22	1.0
ClassII_DNA_Harbinger_1075	0.99999917	8.2872157e-07
ClassII_DNA_Harbinger_1076	0.0	1.0
ClassII_DNA_Harbinger_1077	0.98873633	0.011263689
ClassII_DNA_Harbinger_1078	4.5672102e-36	1.0
