ClassII_DNA_P_3	f3:TR,TR
ClassI_LTR_Copia_107	f2:RT,GAG,IN,GAG
ClassI_LTR_Copia_109	f1:RT,IN,GAG
ClassI_LTR_Copia_110	f1:RT,GAG,IN
ClassI_LTR_Copia_111	f1:RT,GAG,IN
ClassI_LTR_Copia_113	f3:GAG,RT
ClassI_LTR_Copia_115	f1:RT,IN;f3:GAG,IN
ClassI_LTR_Copia_116	f3:RT,IN
ClassI_LTR_Copia_117	f3:RT,GAG,IN
ClassI_LTR_Copia_118	f1:RT,IN,GAG
ClassI_LTR_Copia_120	f1:RT,GAG,IN
ClassI_LTR_Copia_121	f1:RT;f2:IN,GAG,GAG,GAG
ClassI_LTR_Copia_122	f1:RT,GAG;f2:IN;f3:IN
ClassI_LTR_Copia_123	f1:RT,IN;f3:GAG
ClassI_LTR_Copia_124	f1:RT,IN;f3:GAG
ClassI_LTR_Copia_127	f2:RT,IN,GAG,GAG
ClassI_LTR_Copia_128	f1:IN;f2:RT,GAG,GAG,GAG
ClassI_LTR_Copia_129	f2:RT,IN,GAG,GAG,GAG
ClassI_LTR_Copia_130	f2:RT,IN,GAG,GAG,GAG
ClassI_LTR_Copia_131	f2:RT,GAG,IN,GAG
ClassI_LTR_Copia_132	f1:RT,IN;f2:GAG
ClassI_LTR_Copia_133	f1:RT;f3:IN,GAG
ClassI_LTR_Copia_135	f1:IN,GAG;f2:RT
ClassI_LTR_Copia_136	f3:RT
ClassI_LTR_Copia_137	f2:RT,IN;f3:GAG
ClassI_LTR_Copia_138	f1:RT,GAG,IN,GAG
ClassI_LTR_Copia_139	f1:RT,IN;f3:GAG
ClassI_LTR_Copia_140	f1:RT,IN,GAG
ClassI_LTR_Copia_141	f1:RT,IN
ClassI_LTR_Copia_143	f2:RH,RH,RT,IN,GAG,AP
ClassI_LTR_Copia_146	f1:RT,IN;f2:GAG
ClassI_LTR_Copia_147	f1:GAG;f2:RT,IN
ClassI_LTR_Copia_148	f1:RT,IN,GAG,GAG,GAG
ClassI_LTR_Copia_150	f2:IN;f3:RT,GAG
ClassI_LTR_Copia_151	f1:GAG;f3:RT,IN
ClassI_LTR_Copia_153	f1:RT,IN;f3:GAG,GAG
ClassI_LTR_Copia_156	f3:RT,GAG,IN
ClassI_LTR_Copia_159	f1:RT,GAG,IN
ClassI_LTR_Copia_160	f3:RT,GAG,IN
ClassI_LTR_Copia_161	f1:IN;f2:RT;f3:GAG,GAG
ClassI_LTR_Copia_162	f2:GAG
ClassI_LTR_Copia_163	f2:RT;f3:IN
ClassI_LTR_Copia_164	f1:GAG;f2:RT,IN,GAG
ClassI_LTR_Copia_165	f3:RT,IN,GAG,GAG,GAG
ClassI_LTR_Copia_166	f3:RT,IN
ClassI_LTR_Copia_167	f1:GAG;f3:RT,IN
ClassI_LTR_Copia_169	f1:RT,GAG,IN,GAG,GAG
ClassI_LTR_Copia_171	f1:GAG,GAG;f3:RT,IN
ClassI_LTR_Copia_172	f1:RT;f3:RT,IN,GAG
ClassI_LTR_Copia_173	f3:RT,IN
ClassI_LTR_Copia_174	f2:RT,IN
ClassI_LTR_Copia_175	f1:RT,GAG;f3:IN
ClassI_LTR_Copia_176	f2:RT,IN;f3:GAG,IN,RT
ClassI_LTR_Copia_177	f3:RT
ClassI_LTR_Copia_178	f1:IN;f2:RT,IN,GAG
ClassI_LTR_Copia_179	f2:RT,IN;f3:GAG
ClassI_LTR_Copia_180	f2:RT,GAG,IN,GAG
ClassI_LTR_Copia_181	f3:RT,IN,GAG,GAG
ClassI_LTR_Copia_182	f1:GAG;f3:RT,IN
ClassI_LTR_Copia_183	f1:IN;f2:RT;f3:GAG
ClassI_LTR_Copia_187	f1:RT,IN
ClassI_LTR_Copia_188	f1:GAG;f2:RT;f3:IN
ClassI_LTR_Copia_189	f2:RT,IN,GAG
ClassI_LTR_Copia_191	f2:RT,IN;f3:GAG
ClassI_LTR_Copia_192	f1:GAG;f3:RT,IN
ClassI_LTR_Copia_193	f1:RT,IN;f3:GAG
ClassI_LTR_Copia_194	f1:RT,GAG,IN,GAG
ClassI_LTR_Copia_195	f1:RT,IN,GAG
ClassI_LTR_Copia_196	f2:RT,GAG,IN,GAG
ClassI_LTR_Copia_197	f3:RT,IN,GAG
ClassI_LTR_Copia_199	f1:RT;f2:GAG;f3:IN
ClassI_LTR_Copia_200	f1:IN,RT;f2:RT,GAG,GAG
ClassI_LTR_Copia_201	f1:RT,IN;f2:GAG
ClassI_LTR_Copia_202	f1:RT,GAG,IN,GAG
ClassI_LTR_Copia_204	f2:RT,IN,GAG,GAG
ClassI_LTR_Copia_206	f2:RT;f3:GAG,IN,GAG
ClassI_LTR_Copia_207	f1:RT,IN;f2:GAG
ClassI_LTR_Copia_209	f4:IN;f5:RT,RH,RH;f6:RT,RH,RH
ClassI_LTR_Copia_211	f1:IN;f2:RT;f3:GAG
ClassI_LTR_Copia_212	f2:RT,IN;f3:GAG,IN
ClassI_LTR_Copia_213	f1:RT,IN,GAG,GAG
ClassI_LTR_Copia_215	f1:RT,IN,GAG
ClassI_LTR_Copia_217	f1:RT;f2:GAG;f3:IN
ClassI_LTR_Copia_218	f1:RT;f2:RT;f3:GAG,IN
ClassI_LTR_Copia_219	f2:RT,GAG;f3:IN
ClassI_LTR_Copia_220	f1:RT,IN;f3:GAG
ClassI_LTR_Copia_221	f1:RT,GAG,IN
ClassI_LTR_Copia_224	f2:RT,IN;f3:GAG
ClassI_LTR_Copia_226	f1:RT,IN,GAG,GAG,GAG
ClassI_LTR_Copia_227	f1:GAG,GAG;f3:RT,IN
ClassI_LTR_Copia_228	f1:RT,GAG;f2:IN;f3:RT
ClassI_LTR_Copia_229	f4:RT,RH,RH,RH;f5:RT;f6:IN
ClassI_LTR_Copia_230	f1:RT,IN;f2:GAG;f3:GAG
ClassI_LTR_Copia_231	f1:RT,IN;f3:GAG
ClassI_LTR_Copia_232	f2:GAG;f3:RT,IN
ClassI_LTR_Copia_233	f2:RT,IN,GAG
ClassI_LTR_Copia_234	f3:RT,IN,GAG
ClassI_LTR_Copia_235	f2:GAG,IN,GAG;f3:RT
ClassI_LTR_Copia_236	f2:RT,IN;f3:GAG
ClassI_LTR_Copia_238	f1:RT,GAG,IN,GAG,RT;f2:GAG
ClassI_LTR_Copia_240	f1:RT,IN,GAG;f2:GAG
ClassI_LTR_Copia_241	f1:GAG,GAG,GAG;f2:RT,IN
ClassI_LTR_Copia_242	f2:GAG;f3:RT,IN,GAG
ClassI_LTR_Copia_243	f3:RT
ClassI_LTR_Copia_244	f1:RT;f3:GAG,IN
ClassI_LTR_Copia_246	f2:GAG;f3:RT,IN
ClassI_LTR_Copia_247	f3:RT,GAG,IN,GAG,GAG
ClassI_LTR_Copia_250	f1:RT,IN;f3:GAG,GAG
ClassI_LTR_Copia_251	f1:RT;f3:RT,IN
ClassI_LTR_Copia_252	f1:GAG,IN;f2:RT
ClassI_LTR_Copia_253	f1:RT,IN,GAG;f3:GAG,GAG
ClassI_LTR_Copia_255	f3:RT,IN,GAG,GAG
ClassI_LTR_Copia_256	f1:RT,IN;f2:GAG,GAG,GAG
ClassI_LTR_Copia_257	f2:GAG;f3:RT,IN
ClassI_LTR_Copia_258	f2:RT,IN;f3:GAG
ClassI_LTR_Copia_259	f2:IN;f3:RT,GAG
ClassI_LTR_Copia_261	f1:RT,GAG,IN,GAG
ClassI_LTR_Copia_262	f3:RT,GAG,IN,GAG
ClassI_LTR_Copia_263	f2:RT,GAG,IN,GAG
ClassI_LTR_Copia_264	f3:RT
ClassI_LTR_Copia_266	f3:RT,IN,GAG,GAG
ClassI_LTR_Copia_267	f2:IN,GAG;f3:RT
ClassI_LTR_Copia_268	f2:RT,IN,GAG,GAG
ClassI_LTR_Copia_269	f3:RT,GAG,IN
ClassI_LTR_Copia_270	f2:RT;f3:IN,GAG
ClassI_LTR_Copia_271	f2:GAG,GAG;f3:RT,IN
ClassI_LTR_Copia_272	f1:IN,GAG;f3:RT
ClassI_LTR_Copia_273	f1:RT,IN;f3:GAG
ClassI_LTR_Copia_274	f1:GAG,GAG,IN;f3:RT
ClassI_LTR_Copia_276	f1:RT,GAG;f3:IN
ClassI_LTR_Copia_279	f2:RT,IN;f3:GAG
ClassI_LTR_Copia_280	f1:RT,IN
ClassI_LTR_Copia_281	f1:GAG;f2:RT,IN
ClassI_LTR_Copia_282	f1:RT,IN,GAG,GAG
ClassI_LTR_Copia_283	f1:RT;f2:IN;f3:GAG
ClassI_LTR_Copia_284	f2:RT;f3:GAG,IN,GAG
ClassI_LTR_Copia_285	f1:RT,IN;f2:GAG
ClassI_LTR_Copia_286	f1:RT,IN;f2:RT;f3:GAG
ClassI_LTR_Copia_287	f1:GAG;f2:IN;f3:RT,IN,TR
ClassI_LTR_Copia_288	f1:RT,GAG,IN;f2:RH,RH;f3:RH,RH
ClassI_LTR_Copia_289	f4:RT,GAG;f5:RH,RH,IN,RT,RH
ClassI_LTR_Copia_290	f1:RT,IN,GAG;f3:IN
ClassI_LTR_Copia_291	f1:RT;f2:RT,GAG,GAG,GAG;f3:IN
ClassI_LTR_Copia_292	f2:IN;f3:GAG,GAG
ClassI_LTR_Copia_294	f1:RT,GAG;f3:IN
ClassI_LTR_Copia_295	f1:GAG,IN,GAG;f3:RT
ClassI_LTR_Copia_296	f1:RT;f2:IN
ClassI_LTR_Copia_297	f2:RT,IN;f3:GAG
ClassI_LTR_Copia_299	f1:RT,IN;f2:GAG
ClassI_LTR_Copia_301	f2:RT;f3:GAG,IN
ClassI_LTR_Copia_302	f2:RT,IN;f3:GAG
ClassI_LTR_Copia_303	f3:RT
ClassI_LTR_Copia_304	f1:IN;f2:RT;f3:GAG
ClassI_LTR_Copia_306	f2:RT,GAG,IN,GAG;f6:TR
ClassI_LTR_Copia_307	f3:RT,IN
ClassI_LTR_Copia_310	f2:RT,GAG,IN
ClassI_LTR_Copia_311	f1:GAG;f3:RT,IN
ClassI_LTR_Copia_312	f3:RT
ClassI_LTR_Copia_314	f2:GAG,IN;f3:RT
ClassI_LTR_Copia_315	f1:RT;f2:GAG,IN
ClassI_LTR_Copia_316	f1:IN;f3:RH,RH,RT
ClassI_LTR_Copia_317	f1:GAG,RT;f2:RT;f3:IN
ClassI_LTR_Copia_318	f2:GAG,IN;f3:RT
ClassI_LTR_Copia_321	f1:GAG;f2:RT;f3:IN,RT
ClassI_LTR_Copia_323	f1:RT,IN,GAG
ClassI_LTR_Copia_324	f3:RT,GAG,IN,GAG
ClassI_LTR_Copia_325	f2:RT,GAG,IN,GAG
ClassI_LTR_Copia_326	f3:RT,GAG,IN,GAG
ClassI_LTR_Copia_327	f1:GAG,RT;f2:RT
ClassI_LTR_Copia_328	f2:GAG,GAG,GAG;f3:RT,IN
ClassI_LTR_Copia_329	f2:RT,GAG,IN,GAG
ClassI_LTR_Copia_330	f1:RT,GAG
ClassI_LTR_Copia_333	f1:RT;f2:IN,GAG
ClassI_LTR_Copia_334	f3:IN
ClassI_LTR_Copia_335	f2:RT,IN,GAG,GAG,GAG;f3:RT
ClassI_LTR_Copia_337	f1:RT,IN;f2:GAG;f3:TR
ClassI_LTR_Copia_338	f1:RT,IN;f2:RT;f3:IN,GAG
ClassI_LTR_Gypsy_340	f3:AP,RH,RH,RT,GAG,GAG,IN
ClassI_LTR_Gypsy_341	f3:RT,GAG,GAG
ClassI_LTR_Gypsy_342	f2:RH,RH,RT,IN,GAG
ClassI_LTR_Gypsy_343	f2:RH,RH,RT,IN,GAG
ClassI_LTR_Gypsy_344	f1:GAG
ClassI_LTR_Gypsy_345	f2:RT,RT,IN,RH,GAG,RH,RH
ClassI_LTR_Gypsy_346	f2:RT,RH,IN,RH,GAG,RH;f3:RT
ClassI_LTR_Gypsy_349	f2:RH,RH;f3:RH,RH,IN
ClassI_LTR_Gypsy_350	f5:RH,RH,IN,AP,GAG;f6:RT,GAG
ClassI_LTR_Gypsy_351	f3:RH,RT,RH,IN,AP,GAG,GAG
ClassI_LTR_Gypsy_352	f2:RH,RT,RT,RH,IN,RH;f3:GAG,GAG
ClassI_LTR_Gypsy_353	f1:RT,IN,RH,RT,RH,RH
ClassI_LTR_Gypsy_354	f1:RH,RH,RT
ClassI_LTR_Gypsy_355	f1:RT,RH,IN,RT,RH,GAG,RH
ClassI_LTR_Gypsy_356	f2:AP,RH,RH,RT,GAG,IN,GAG
ClassI_LTR_Gypsy_357	f1:IN,GAG,GAG;f2:RT;f3:RH,RH
ClassI_LTR_Gypsy_358	f1:RT,RT,IN,GAG,RH,RH,RH
ClassI_LTR_Gypsy_359	f2:GAG,AP;f3:RH,RT,RH,IN
ClassI_LTR_Gypsy_360	f1:IN,RT,RH;f2:RT,RH,RH
ClassI_LTR_Gypsy_361	f2:IN,RH,RH;f3:RT,GAG,RH,RH,GAG
ClassI_LTR_Gypsy_362	f3:RH,RH,RT,IN,GAG,GAG,RT,AP
ClassI_LTR_Gypsy_363	f1:AP,RH,RH,RT,GAG,IN,GAG;f6:TR
ClassI_LTR_Gypsy_364	f1:RT,IN,RT,RH,RH,RH;f2:GAG
ClassI_LTR_Gypsy_365	f1:RH,RH,RT,RT,IN,RH;f3:GAG,GAG
ClassI_LTR_Gypsy_366	f3:RT,RT,IN,GAG,RH,RH
ClassI_LTR_Gypsy_367	f4:RT
ClassI_LTR_Gypsy_368	f1:GAG,GAG;f2:RH,RH,RT,RT,IN,RH
ClassI_LTR_Gypsy_369	f2:IN;f3:RH,RH,RT
ClassI_LTR_Gypsy_370	f1:RH,RH,RT,IN
ClassI_LTR_Gypsy_372	f1:AP,RH,RH,RT,GAG,IN,GAG
ClassI_LTR_Gypsy_374	f3:RH,RH,RT,GAG,IN
ClassI_LTR_Gypsy_375	f4:GAG;f5:IN;f6:RT,RT,RH,RH,RH
ClassI_LTR_Gypsy_376	f1:AP;f2:RT,GAG,AP;f3:RH,RH,IN
ClassI_LTR_Gypsy_377	f2:IN;f3:RH,RT,RH,RT,RH,GAG
ClassI_LTR_Gypsy_378	f2:RT,RH,IN,RH,RT,RH;f3:GAG
ClassI_LTR_Gypsy_380	f2:RT,RT,RH,RH,GAG,IN,RH
ClassI_LTR_Gypsy_382	f3:IN,AP,GAG
ClassI_LTR_Gypsy_384	f1:IN;f2:GAG;f3:RT,RT,RH,RH
ClassI_LTR_Gypsy_385	f1:RT,RT,IN,RH,RH,GAG,RH
ClassI_LTR_Gypsy_386	f5:RH,AP;f6:RH
ClassI_LTR_Gypsy_388	f5:GAG
ClassI_LTR_Gypsy_389	f1:RH,RH,IN;f3:RT,GAG,GAG
ClassI_LTR_Gypsy_390	f2:RT;f3:RH,GAG,RT,IN,RH
ClassI_LTR_Gypsy_391	f1:GAG;f2:IN,GAG;f3:RT
ClassI_LTR_Gypsy_392	f2:RH,RH,RT,IN,GAG
ClassI_LTR_Gypsy_393	f3:RH,AP,RT,GAG,GAG,RH,IN
ClassI_LTR_Gypsy_394	f3:RT,RH,RH,IN,GAG,RT,RH,GAG
ClassI_LTR_Gypsy_396	f1:IN;f2:RT,GAG,RH;f3:RT,RH,RH
ClassI_LTR_Gypsy_397	f1:RT;f2:IN;f3:RH,RH,RT,RT,RH
ClassI_LTR_Gypsy_398	f1:RH,RT,RH,GAG,IN,AP,GAG
ClassI_LTR_Gypsy_400	f1:RT,RH,RH,IN,AP,GAG,GAG
ClassI_LTR_Gypsy_401	f2:RT,GAG;f3:RH,RH,GAG,IN,RT
ClassI_LTR_Gypsy_402	f3:AP,RH,RH,RT,GAG,IN,GAG
ClassI_LTR_Gypsy_406	f1:GAG,AP;f3:RH,RH,IN,RT
ClassI_LTR_Gypsy_409	f1:RT
ClassI_LTR_Gypsy_410	f3:RT
ClassI_LTR_Gypsy_411	f3:RT
ClassI_LTR_Gypsy_412	f1:GAG;f3:RH,RH,RT,RT,IN,RH
ClassI_LTR_Gypsy_414	f1:IN;f2:RT,RH,RH;f3:AP,GAG,GAG
ClassI_LTR_Gypsy_415	f2:RH,RH,RT,GAG,IN
ClassI_LTR_Gypsy_416	f1:GAG
ClassI_LTR_Gypsy_417	f1:RH,RH,RT,IN,RT,RH;f3:GAG
ClassI_LTR_Gypsy_421	f1:RH,RH,RT,IN,AP,GAG,GAG,GAG
ClassI_LTR_Gypsy_422	f1:GAG;f2:IN,RT;f3:RH,RH
ClassI_LTR_Gypsy_423	f1:RT,IN,RT,RH,RH,GAG,RH
ClassI_LTR_Gypsy_424	f3:RT
ClassI_LTR_Gypsy_425	f1:RT;f3:RT,IN,RH,RH,GAG
ClassI_LTR_Gypsy_426	f1:RH;f2:RT
ClassI_LTR_Gypsy_429	f1:GAG;f2:IN,RT,RH,RT,RH
ClassI_LTR_Gypsy_430	f6:GAG,AP
ClassI_LTR_Gypsy_433	f3:RH,RH,RT,AP,IN
ClassI_LTR_Gypsy_434	f3:RT,RH,RH,IN
ClassI_LTR_Gypsy_435	f1:RT,IN;f2:RH,RH;f3:AP,GAG,RT,GAG
ClassI_LTR_Gypsy_436	f1:RH,RT,RH;f2:GAG;f3:IN
ClassI_LTR_Gypsy_437	f1:RT,RH,RH,RH;f2:IN,GAG;f3:RT
ClassI_LTR_Gypsy_440	f1:AP,RT,RH,IN,GAG,RH,GAG;f3:RH,RH
ClassI_LTR_Gypsy_441	f1:AP
ClassI_LTR_Gypsy_442	f2:RH,RH,RT,IN
ClassI_LTR_Gypsy_444	f1:RT,IN;f2:RT,GAG,RH;f3:GAG
ClassI_LTR_Gypsy_445	f1:RT;f2:RH,IN,RT,RH,RT,RH
ClassI_LTR_Gypsy_446	f1:RH,RH,RT;f2:RT,IN,GAG,RH
ClassI_LTR_Gypsy_447	f2:RH,RH;f3:RT
ClassI_LTR_Gypsy_449	f1:RT,IN,RT,RH,RH,GAG,RH
ClassI_LTR_Gypsy_450	f2:RH,RH,IN,GAG,RT
ClassI_LTR_Gypsy_452	f1:RH,RH,RT,GAG,IN,GAG
ClassI_LTR_Gypsy_453	f2:RH,RH,RT,GAG;f3:IN
ClassI_LTR_Gypsy_454	f1:GAG,RT;f2:RH,RH,IN
ClassI_LTR_Gypsy_455	f1:IN,GAG;f2:RH,RH,RT
ClassI_LTR_Gypsy_457	f3:RT,RH,IN,RT,RH,RH
ClassI_LTR_Gypsy_459	f2:IN
ClassI_LTR_Gypsy_460	f2:RH,RH,RT,IN,AP,GAG;f3:GAG
ClassI_LTR_Gypsy_461	f3:RH,RH,IN,RT
ClassI_LTR_Gypsy_462	f4:RT,RH,RH;f5:GAG;f6:IN
ClassI_LTR_Gypsy_463	f2:IN
ClassI_LTR_Gypsy_464	f1:RT,GAG,RH,RH,RH;f2:RT,IN
ClassI_LTR_Gypsy_465	f1:IN;f2:RH,RH;f3:RT
ClassI_LTR_Gypsy_466	f1:RT;f2:RH,RH,IN;f3:GAG
ClassI_LTR_Gypsy_467	f1:RH,RH,RT,IN,RH;f3:GAG
ClassI_LTR_Gypsy_469	f1:RT;f2:IN;f3:RH,RH,RT,RH
ClassI_LTR_Gypsy_472	f1:RH,RH,RT,RT,IN,RH;f3:GAG,GAG
ClassI_LTR_Gypsy_473	f2:RH,RT,RH,GAG,AP,IN,GAG,GAG
ClassI_LTR_Gypsy_474	f1:RH,RT,RH,AP,IN,GAG,GAG
ClassI_LTR_Gypsy_475	f1:RT;f2:RH,RH,AP
ClassI_LTR_Gypsy_476	f3:RH,RH,RT,IN,GAG,AP
ClassI_LTR_Gypsy_478	f2:RH,RT,RH,IN,GAG,AP
ClassI_LTR_Gypsy_480	f1:IN,RT,RH,RH,RH;f3:RT,GAG
ClassI_LTR_Gypsy_481	f1:IN,GAG;f2:RH,RH;f3:RT,RH,RH
ClassI_LTR_Gypsy_482	f1:RH,RT,AP,RH,GAG,GAG,IN
ClassI_LTR_Gypsy_483	f1:GAG;f2:RH,RH,RT,IN,RT,RH
ClassI_LTR_Gypsy_485	f2:AP
ClassI_LTR_Gypsy_486	f1:GAG;f2:IN;f3:RH,RH,RT,AP,GAG
ClassI_LTR_Gypsy_487	f1:GAG;f2:RT,IN,RT,RH,RH,RH
ClassI_LTR_Gypsy_489	f1:GAG;f2:RT,RT,IN,RH,RH,RH
ClassI_LTR_Gypsy_491	f2:AP,RH,RH,RT,GAG,IN,GAG
ClassI_LTR_Gypsy_492	f1:IN;f2:RH,RT,RH,AP,GAG,GAG,AP
ClassI_LTR_Gypsy_493	f2:RT,RT,RH,RH,GAG,RH;f3:IN
ClassI_LTR_Gypsy_494	f1:IN;f2:RH,RH;f3:RT,GAG,RH,RH,GAG
ClassI_LTR_Gypsy_495	f4:GAG;f6:RH,RH,RT,IN
ClassI_LTR_Gypsy_496	f1:RT;f2:RT,RH,RH,GAG;f3:IN
ClassI_LTR_Gypsy_497	f3:IN
ClassI_LTR_Gypsy_498	f3:RT,RH,IN,RH,RT,RH
ClassI_LTR_Gypsy_499	f1:RH,RH,IN
ClassI_LTR_Gypsy_500	f3:RH,RH,RT,GAG,IN,GAG,AP
ClassI_LTR_Gypsy_502	f1:RH,AP,RH,RT,GAG,IN,GAG
ClassI_LTR_Gypsy_505	f1:RH;f2:GAG;f3:RT,IN,AP,GAG
ClassI_LTR_Gypsy_506	f1:RH,RH,RT,GAG,GAG;f2:IN
ClassI_LTR_Gypsy_507	f4:RT,IN;f5:RT
ClassI_LTR_Gypsy_508	f1:RT;f3:RH,RH,RT,IN,RH
ClassI_LTR_Gypsy_509	f2:GAG
ClassI_LTR_Gypsy_510	f4:RT
ClassI_LTR_Gypsy_512	f2:GAG;f3:RT,RH,RT,IN,RH,RH
ClassI_LTR_Gypsy_513	f3:RH,RT,RH,GAG,IN,GAG,AP
ClassI_LTR_Gypsy_514	f3:RT,RH,RH,AP,GAG,IN,GAG
ClassI_LTR_Gypsy_515	f3:RH,RH,RT,IN,GAG
ClassI_LTR_Gypsy_517	f1:IN,GAG,RT;f2:RT,RH,RH,RT,IN
ClassI_LTR_Gypsy_518	f1:GAG;f3:RT,IN,RT,RH,RH,RH
ClassI_LTR_Gypsy_519	f1:RT;f2:RT,RH;f3:GAG,RH,RH,IN
ClassI_LTR_Gypsy_520	f1:RT;f2:GAG;f3:RT,IN,RH,RT
ClassI_LTR_Gypsy_521	f1:RH,RH,AP,RT,GAG,IN,GAG,TR
ClassI_LTR_Gypsy_522	f2:GAG,GAG;f3:RT,RH,RH,RT,IN,RH
ClassI_LTR_Gypsy_523	f3:RT,RH,IN,RT,RH,RH
ClassI_LTR_Gypsy_525	f1:RH,RH,RT,IN,AP,GAG;f2:GAG
ClassI_LTR_Gypsy_528	f1:RH,GAG;f2:IN;f3:RH,RH
ClassI_LTR_Gypsy_529	f3:RT,IN,RH,RH,RT,RH
ClassI_LTR_Gypsy_530	f1:RH,RH,IN,RT,RT;f2:RT;f3:GAG
ClassI_LTR_Gypsy_531	f1:RH,RH,RT,IN
ClassI_LTR_Gypsy_532	f3:RT,RH,RH,IN,GAG,AP,GAG
ClassI_LTR_Gypsy_535	f1:RH,RH,RT,IN,GAG,AP
ClassI_LTR_Gypsy_536	f3:RT,IN,RH,RT,RH,RH
ClassI_LTR_Gypsy_537	f4:GAG
ClassI_LTR_Gypsy_538	f1:AP,RH,RH,RT,GAG,IN,GAG
ClassI_LTR_Gypsy_539	f2:RH,RH,RT,IN,GAG
ClassI_LTR_Gypsy_540	f1:RT,GAG,RH;f3:RT,IN,RH,RH,RH
ClassI_LTR_Gypsy_541	f3:RT,IN,RH,RT,RH,RH
ClassI_LTR_Gypsy_542	f2:RT,RH,IN,RT,RH,GAG,RH
ClassI_LTR_Gypsy_543	f6:IN
ClassI_LTR_Gypsy_544	f2:RT,IN,GAG;f3:RT,RH,RH,RH
ClassI_LTR_Gypsy_545	f4:GAG;f6:RT,RT,IN,RH,RH,RH
ClassI_LTR_Gypsy_547	f2:GAG
ClassI_LTR_Gypsy_548	f1:IN,GAG
ClassI_LTR_Gypsy_552	f1:GAG;f2:RH,RH,RT,IN
ClassI_LTR_Gypsy_554	f5:AP
ClassI_LTR_Gypsy_555	f2:IN;f3:RT,RH,RH,GAG,GAG
